epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.97358,1.76381,4.73723,1.92174,0.72359,0.14286,0.14571,0.08743,2.81146,4.51538,2.78085,0,0,0
2,6.44983,1.74919,3.75699,2.27989,0.88418,0.14286,0.14571,0.08743,2.769,4.48378,2.76712,1.9802e-05,1.9802e-05,1.9802e-05
3,9.87316,2.37594,5.16031,2.38724,0.94774,0.14286,0.14571,0.08743,2.69104,4.77621,2.79073,3.9208e-05,3.9208e-05,3.9208e-05
4,13.2368,1.41592,3.81368,1.58646,0.96076,0.14286,0.14571,0.08743,2.65729,5.59158,2.78963,5.8218e-05,5.8218e-05,5.8218e-05
5,16.4557,1.16127,3.30565,1.31584,0.95965,0.14286,0.14571,0.10207,2.57645,5.57926,2.89139,7.6832e-05,7.6832e-05,7.6832e-05
6,19.6273,1.49133,2.12358,1.68891,0.95712,0.14286,0.14571,0.09475,2.6741,6.46386,2.93464,9.505e-05,9.505e-05,9.505e-05
7,22.6128,1.53996,6.31447,1.7103,0.96268,0.14286,0.14571,0.08743,2.71054,6.10795,2.85416,0.000112872,0.000112872,0.000112872
8,25.687,2.71958,3.36789,2.42197,0.94881,0.14286,0.14571,0.08743,2.47592,5.89258,2.14577,0.000130298,0.000130298,0.000130298
9,28.6817,1.7847,3.1198,1.68913,0.86531,0.14286,0.14571,0.11657,2.16354,4.46952,1.98202,0.000147328,0.000147328,0.000147328
10,31.7983,2.49296,2.94466,1.74093,0.87612,0.14286,0.14571,0.11657,2.17844,3.79479,2.0265,0.000163962,0.000163962,0.000163962
11,35.1282,2.71536,3.29297,2.01939,0.943,0.14286,0.14705,0.07532,2.27339,4.06065,2.0464,0.0001802,0.0001802,0.0001802
12,38.2335,1.218,2.1673,1.26434,0.9238,0.14286,0.14703,0.08078,2.35881,4.43564,2.07372,0.000196042,0.000196042,0.000196042
13,41.2317,2.9281,3.63234,2.04379,0.95203,0.14286,0.14696,0.11707,2.05861,3.74054,1.97321,0.000211488,0.000211488,0.000211488
14,44.4136,1.49188,2.13369,1.33957,0.94594,0.14286,0.14667,0.11686,1.8381,4.45538,1.83542,0.000226538,0.000226538,0.000226538
15,47.4104,1.59848,2.06854,1.49326,0.8996,0.14286,0.14571,0.11657,1.82639,4.29287,1.866,0.000241192,0.000241192,0.000241192
16,50.4719,2.96803,2.55598,1.82943,0.93664,0.14286,0.14571,0.14571,2.11701,4.70242,2.00718,0.00025545,0.00025545,0.00025545
17,53.5904,1.26468,2.2804,1.31551,0.85753,0.14286,0.14707,0.14598,2.04448,4.65257,2.007,0.000269312,0.000269312,0.000269312
18,56.7091,2.05897,2.38737,1.47411,0.85753,0.14286,0.14707,0.14598,2.04448,4.65257,2.007,0.000282778,0.000282778,0.000282778
19,59.946,1.19027,2.89946,1.3981,0.69338,0.14286,0.14773,0.13134,1.67235,3.79125,1.78664,0.000295848,0.000295848,0.000295848
20,62.9357,1.41,1.82859,1.50745,0.69338,0.14286,0.14773,0.13134,1.67235,3.79125,1.78664,0.000308522,0.000308522,0.000308522
21,66.5143,0.92987,1.5068,1.1108,0.39852,0.14286,0.14717,0.13129,1.83339,4.24507,1.70107,0.0003208,0.0003208,0.0003208
22,69.4058,1.67272,2.17737,1.24029,0.39852,0.14286,0.14717,0.13129,1.83339,4.24507,1.70107,0.000332682,0.000332682,0.000332682
23,72.4337,0.8341,1.20219,1.09729,0.48682,0.14286,0.14571,0.13114,1.52975,4.95789,1.51149,0.000344168,0.000344168,0.000344168
24,75.329,1.63442,2.99178,1.44974,0.48682,0.14286,0.14571,0.13114,1.52975,4.95789,1.51149,0.000355258,0.000355258,0.000355258
25,78.3547,1.44555,1.93934,1.22126,0.83103,0.14286,0.14571,0.13114,1.61477,5.10057,1.49452,0.000365952,0.000365952,0.000365952
26,81.4141,1.41629,1.9917,1.54446,0.83103,0.14286,0.14571,0.13114,1.61477,5.10057,1.49452,0.00037625,0.00037625,0.00037625
27,84.4288,1.36015,1.50402,1.11705,0.3283,0.14286,0.07321,0.05857,2.14353,6.10657,1.70964,0.000386152,0.000386152,0.000386152
28,87.3175,2.30183,2.71241,1.47066,0.3283,0.14286,0.07321,0.05857,2.14353,6.10657,1.70964,0.000395658,0.000395658,0.000395658
29,90.3541,1.57765,2.44914,1.49877,0.28582,0.28571,0.23941,0.15963,1.84916,3.66821,1.82056,0.000404768,0.000404768,0.000404768
30,93.3832,1.95569,1.73618,1.37113,0.28582,0.28571,0.23941,0.15963,1.84916,3.66821,1.82056,0.000413482,0.000413482,0.000413482
